Date,Event
13-Feb-68,"Ford's Theatre, the site of the assassination of President Abraham Lincoln in 1865 in Washington, D.C., reopens to the public. It had been restored to its original appearance and use as a theatre, now comprising the Ford's Theatre National Historic Site."
31-Mar-68,"President Johnson announces a slowing to the
bombing of North Vietnam, and that he would not seek reelection
as president. Peace talks would begin May 10 in Paris; all
bombing of North Korea halted October 31."
4-Apr-68,"Civil Rights leader Martin Luther King is assassinated in Memphis, Tennessee while standing on a motel balcony by James Earl Ray."
5-Jun-68,"Presidential candidate, the Democratic Senator
from New York, Robert F. Kennedy, is shot at a campaign victory
celebration in Los Angeles by Sirhan Sirhan, a Jordanian, after
primary victories, and dies one day later."
5-Nov-68,"Richard M. Nixon recaptures the White
House from the Democratic party with his victory of Hubert H.
Humphrey and 3rd Party candidate George Wallace. Nixon
captures 301 Electoral College Votes to 191 for Humphrey and
46 for Wallace."
12-Jan-69,The New York Jets win Super Bowl III over the Baltimore Colts after a bold prediction by quarterback Joe Namath. This is the first victory in the National Football League for a former American Football League team.
25-Jan-69,"Four-party Vietnam war peace talks begin. In
April, U.S. troops in the war reached its zenith at 543,400 and
would begin their withdrawal on July 8."
20-Jul-69,"The Apollo program completes its mission. Neil
Armstrong, United States astronaut, becomes the first man to set
foot on the moon four days after launch from .
His Apollo 11 colleague, Edwin E. Aldrin, Jr. accompanies him."
25-Jul-69,"President Richard M. Nixon announces his new
Vietnam policy, declaring the Nixon Doctrine that expected Asian
allies to care for their own military defense. This policy, and all
Vietnam war policies, would be heavily protested throughout the
remainder of the year. On November 15, 1969, more than two
hundred and fifty thousand anti-Vietnam war demonstrators
marched on Washington, D.C. to peacefully protest the war."
20-Nov-69,"Alcatraz Island, the former prison in Bay, is occupied by fourteen American Indians in a long standoff over the issues of Indian causes."
21-Nov-69,"The Internet, called Arpanet during its initial development, is invented by the Advanced Research Projects Agency at the U.S. Department of Defense. The first operational packet switching network in the world was deployed connecting the IMP at UCLA and the Stanford Research Institute. By December 5, it included the entire four node system, with the
UCSB and the University of Utah."
18-Feb-70,Five members of the Chicago 7 are convicted of crossing state lines to incite riots during the 1968 Democratic Presidential Convention in Chicago
1-Apr-70,"For the first time, the 1970 census counted over
200 million people living in the United States. The 13.4%
increase since the last census indicated that a 203,302,031
population now called the U.S.A. home. It had taken only fifty
years to go from the first 100 million census in 1920 to the
second. Once again, the geographic center of the United States
population was in Illinois, five miles east southeast of Mascoutah."
22-Apr-70,"The first Earth Day celebration is held with
millions of Americans participating in anti-pollution
demonstrations. These demonstrations included school children
walking to school instead of riding the bus."
4-May-70,"Four students from Kent State University in Ohio
were killed and nine wounded by National Guardsmen during a
protest against the Vietnam War spread into Cambodia."
12-Aug-70,"The United States Postal Service is made
independent in a postal reform measure for the first time in
almost two centuries."
2-Jan-71, A ban on the television advertisement of cigarettes goes into affect in the United States.
8-Feb-71,"A forty-four day raid into Laos by South
Vietnamese soldiers is begun with the aid of United States air
and artillery."
10-Mar-71,"The Senate approves a Constitutional
Amendment, the 26th, that would lower the voting age from 21 to
18. House approval came on March 23. It was ratified by the
states by June 30 and received certification by President Richard M. Nixon on July 5."
30-Jun-71,"The United States Supreme Court upholds the
right of the New York Times and the Washington Post to publish
classified Pentagon papers about the Vietnam War, under the
articles of the First Amendment to the Constitution. The New
York Times had begun the publication of the Pentagon papers on
June 13."
17-Sep-71,"The advent of the microprocessor age at
Texas Instruments includes the introduction of the 4-bit TMS
1000 with a calculator on the chip; on November 15, 1971, Intel
released the 4-bit 4004 microprocessor developed by Federico
Faggin. It is unknown whose chip predated the other in the
laboratory environment."
1-Oct-71,"Walt Disney World opens in Orlando, Florida,
expanding the Disney empire to the east coast of the United
States."
21-Feb-72,"The journey for peace trip of the U.S. President to Peking, China begins. The eight day journey by Richard M. Nixon and meetings with Mao Zedong, unprecedented at the time, began the process for normalization of relations with China."
30-Mar-72,"The largest attacks by North Vietnam troops
across the demilitarized zone in four years prompts bombing
raids to begin again by United States forces against Hanoi and
Haiphong on April 15, ending a four year cessation of those
raids."
22-May-72,"President Richard M. Nixon makes the first trip of the U.S. President to Moscow. The week of summit discussions
would lead to a strategic arms pact, SALT I that would be signed
by Nixon and Premier Leonid Brezhnev on May 26. On July 8, the
White House would announce the sale of American wheat to the
Soviet Union."
17-Jun-72,"The Watergate crisis begins when four men are
arrested for breaking into the Democratic National Committee
headquarters in the Watergate office building in Washington,
D.C. on the same day that Okinawa is returned from U.S. control
back to Japan."
7-Nov-72,"In one of the most lopsided races in
American Presidential election history, incumbent President
Richard M. Nixon beat his Democratic challenger George S.
McGovern, winning 520 Electoral College votes to McGovern's
17, and taking over 60% of the popular vote. This election,
however, would be the beginning of the end for the presidency of
Richard M. Nixon, once the Watergate affair brought question
into the tactics within the election process."
22-Jan-73,The United States Supreme Court rules in Roe vs. Wade that a woman can not be prevented by a state in having an abortion during the first six months of pregnancy.
27-Jan-73,"Four part Vietnam peace pacts, the Paris
Peace Accords, were signed in Paris, France. The announcement of the military draft ending also occurred on that date. The last U.S. military troops would leave the war zone on March 29."
30-Jan-73,"Two defendants in the Watergate break-in
trial are convicted. The remaining five defendants had pleaded
guilty to the crime two weeks earlier. On April 30, the Watergate affair widens when four members of the Nixon administration; aides H.R. Haldeman, John D. Ehrlichman, John W. Dean, and Attorney General Richard Kleindienst resign under suspicion of obstructing justice. During Senate hearings on June 25, Dean would admit that the administration had conspired to cover up facts about the case, leading to the refusal of the President to release tapes concerning Watergate."
9-Jun-73,"In one of the most awesome displays of
dominance in sports history, Secretariat, wins the Belmont
Stakes by 31 lengths, winning the Triple Crown of United States
Thoroughbred Racing for the first time since 1948."
10-Oct-73,"Vice President Spiro T. Agnew resigns amid
charges of tax evasion and is replaced by the appointment of
Gerald R. Ford on October 12."
19-Oct-73,"The Arab Oil Embargo: Oil imports from Arab
oil-producing nations are banned to the United States after the
start of the Arab-Israeli war, creating the 1973 energy crisis.
They would not resume until March 18, 1974."
7-Mar-74,Legislation is signed by President Nixon creating the Big South Fork National River and Recreation Area along the Cumberland River in Kentucky and Tennessee.
4-May-74,"Expo '74, the Bureau of International Exhibitions
sanctioned special exposition was held for six months in the
Washington State city of Spokane, one of the smaller cities to
host a BIE world expo in their history. Held on the theme
""Celebrating Tomorrow's Fresh, Clean Environment,"" the event
capitalized on the Earth Day sentiments of the time, and drew
over 5 million visitors to eastern Washington State."
7-May-74,"Impeachment hearings are begun by the House
Judiciary Committee against President Richard M. Nixon in the
Watergate affair. On July 24, the United States Supreme Court
rules that President Nixon must turn over the sixty-four tapes of White House conversations concerning the Watergate break-in."
27-Jul-74,"The first of three articles of impeachment against President Richard M. Nixon is recommended in a 27-11 vote of the House Judiciary Committee, charging that Nixon had been part of a criminal conspiracy to obstruct justice in the Watergate affair."
9-Aug-74,"President Richard M. Nixon resigns the office of the presidency, avoiding the impeachment process and admitting his role in the Watergate affair. He was replaced by Vice President Gerald R. Ford, who, on September 8, 1974, pardoned Nixon for his role. Nixon was the first president to ever resign from office."
1-Jan-75,"The Watergate cover up trials of Mitchell, Haldeman, and Ehrlichman are completed; all are found guilty of the charges."
6-Jan-75,"The television show Wheel of Fortune
premiers."
30-Mar-75,"At the railroad depot in Plains, Georgia, his
home town, former Democratic Georgia governor Jimmy Carter
opens his campaign headquarters for the 1976 presidential race."
29-Apr-75,"Communist forces complete their takeover of
South Vietnam, forcing the evacuation from Saigon of civilians
from the United States and the unconditional surrender of South
Vietnam."
18-Sep-75,Heiress Patty Hearst is captured after her year of kidnap and bank robbery in California.  She would be  convicted of the crime six months later.
4-Jul-76,"The Bicentennial of the United States is celebrated throughout the nation. The 200th anniversary included Operation Sail in New York City, as well as a Bicentennial Wagon Train that traversed the nation during the year."
20-Jul-76,"The Viking 1 space probe successfully lands on
Mars. It would be followed by a second unmanned Viking II on
the Utopia Plains on September 3. The first color photos of the
surface of Mars are taken on these flights."
21-Jul-76,"Twenty-nine people attending an American
Legion convention in Philadelphia are killed by a mysterious
ailment, one year later discovered as a bacterium."
2-Nov-76,"Challenger Jimmy Carter, a relatively
unknown former Democratic governor from Georgia, bests
Gerald Ford in a closely contested election. Carter received a
slight majority of the popular vote, as well as an Electoral College victory of 297 to 240."
26-Nov-76,"Microsoft becomes a registered trademark,
one year after its name for microcomputer software is first
mentioned by Bill Gates to Paul Allen in a letter."
21-Jan-77,"The majority of Vietnam War draft evaders, ten thousand in number, are pardoned by President Jimmy Carter."
25-May-77,"The movie Star Wars opens and becomes the
highest grossing film at the time."
4-Aug-77,"The cabinet level Energy Department is created
by Jimmy Carter."
13-Jul-77,"The New York City blackout results in massive
looting and disorderly conduct during its twenty-five hour
duration."
21-Sep-77,"Fifteen nations, including the United States and the Soviet Union, sign a nuclear-proliferation pact, slowing the spread of nuclear weapons around the world."
3-Mar-78,"In one of the first articles on the subject of human cloning, the New York Post prints an article on the book The Cloning of Man which supposes the cloning of a human being."
18-Apr-78,"The United States Senate votes to return the
Panama Canal back to Panama on December 31, 1999. A treaty
for the return had been signed on September 7 of the previous
year, pending approval by the U.S. Congress."
17-Aug-78,"The first balloon, Double Eagle II, to cross the Atlantic Ocean comes to rest in Miserey, France, after one
hundred and thirty-seven hours of flight from Presque Isle,
Maine."
17-Sep-78,"The Camp David Peace Agreement
between Israel and Egypt is formulated in twelve days of secret
negotiations at the Camp David retreat of the President.
President Jimmy Carter witnessed the signing of the agreement
between Israeli Prime Minister Menachem Begin and Egyptian
President Anwar Sadat at the White House."
16-Oct-78,"Pope John Paul II, Karol Wojtyla of Poland, is elected Pope at Vatican City."
28-Mar-79,"An accident at the Three Mile Island nuclear power plant in Middletown, Pennsylvania occurs when a partial core meltdown is recorded. A tense situation ensued for five days until the reactor was deemed under control. It is the largest accident in U.S. nuclear power history and considered the worst in the world until the Soviet Chernobyl accident seven years later"
1-Sep-79,"The American Pioneer Eleven passes the
planet Saturn, becoming the first spacecraft to visit the ringed
planet, albeit at a distance of 21,000 kilometers."
6-Oct-79,"The Federal Reserve system changes its
monetary policy goals from interest rate based to a money supply
target orientation."
1-Nov-79,"The Chrysler Bailout is approved by the
federal government. A $1.5 billion loan-guarantee plan is floated to assist the third largest car maker in the United States."
4-Nov-79,"The Iran Hostage Crisis begins when
sixty-three Americans are among ninety hostages taken at the
American embassy in Tehran by three thousand militant student
followers of Ayatollah Khomeini, who demand that the former
shah return to Iran to stand trial."
4-Jan-80, President Jimmy Carter announces the embargo on sale of grain and high technology to the Soviet Union due to the Soviet invasion of Afghanistan.
13-Feb-80,"The opening ceremonies of the 1980 Winter
Olympics Games are held in Lake Placid, New York. One of the
most thrilling moments include the Miracle on Ice when a team of
U.S. amateur ice hockey players defeated the vaunted Soviet
Union professional all-star team in the semi-final game, then won the gold medal over Finland. U.S. speed skater Eric Heiden also concluded one of the most amazing feats in sports history when he won all five speed skating medals from the sprint at 500
meters to the marathon 10,000 meter event."
1-Apr-80,"The 1980 census shows a population in the United
States of 226,542,203, an 11.4% increase since 1970. For the
first time, one state had over 20 million people living within its borders, the state of California with 23.7 million. Due to a trend of western migration, Missouri now contained the geographic population center of the United States, one quarter mile west of De Soto in Jefferson County."
12-Apr-80,"The United States Olympic Committee,
responding to the request of President Jimmy Carter on March
21, votes to withdraw its athletes from participation in the
Moscow Summer Olympic Games due to the continued
involvement of the Soviet Union in Afghanistan."
"April 24-25, 1980","The attempt to rescue the American hostages
held captive in the U.S. Embassy in Iran fails with eight
Americans killed and five wounded in Operation Eagle Claw
when a mid-air collision occurs."
18-May-80,"The Mt. St. Helens volcano, in Washington State,
erupts, killing fifty-seven people and economic devastation to the area with losses near $3 billion. The blast was estimated to have the power five hundred times greater than the Hiroshima atomic bomb."
10-Oct-80,"President Carter signs legislation establishing Boston African American National Historic Site, which includes the oldest black church in America and other historic sites of the Black Heritage Trail in Boston, Massachusetts."
4-Nov-80,"Ronald Reagan, the former Republican
governor of California, beats President Jimmy Carter and
independent candidate John B. Anderson, also a Republican, in
a landslide victory, ousting the incumbent from office. The victory in the Electoral College, 489 to 49, as well as an 8 million vote margin in the popular vote over Carter, ensured a mandate for the new president."
20-Jan-81,"The inauguration of Ronald Reagan as the 40th president of the United States occurs in Washington, D.C. It was followed by the release of the fifty-two Americans still held hostage in Tehran. The Iranian hostage crisis, which lasted four hundred and forty-four days, was negotiated for the return of $8 billion in frozen Iranian assets."
30-Mar-81,"President Ronald Reagan withstands an
assassination attempt, shot in the chest while walking to his
limousine in Washington, D.C."
12-Apr-81,"The first launch of the Space Shuttle from Cape
Canaveral and the Kennedy Space Center occurs as Columbia
begins its STS-1 mission. The Space Shuttle is the first reusable spacecraft to be flown into orbit, and it returned to earth for a traditional touch down landing two days later."
29-Jul-81,"Tax cut legislation proposed by President Ronald
Reagan, the largest in history, is passed by both houses of the
U.S. Congress. It would reduce taxes by $750 billion over the
next five years."
12-Aug-81,"IBM introduces the IBM-PC personal
computer, the IBM 5150. It was designed by twelve engineers
and designers under Don Estridge of the IBM Entry Systems
Division. It sold for $1,565 in 1981."
21-Sep-81,"Sandra Day O'Connor is approved
unanimously, 99-0, by the United States Senate to become the
first female Supreme Court associate justice in history."
8-Jan-82,ATT settles its lawsuit with the U.S. Justice Department. The agreement forced the independence of the twenty-two regional Bell System companies in return for expansion into the prohibited areas of data processing and equipment sales.
2-Mar-82,The Senate passes a bill that virtually eliminated the practice of busing to achieve racial integration.
1-May-82,"The Knoxville World's Fair opens on the topic of
energy by President Reagan. A special category exposition
sanctioned by the Bureau of International Exhibitions, the
Knoxville event would draw over eleven million people to the
Tennessee valley over the next six months."
5-Nov-82,"The highest unemployment rate since 1940
is recorded at 10.4%. By the end of November, over eleven
million people would be unemployed."
13-Nov-82,"The Vietnam Veterans Memorial is
dedicated in Washington, D.C., holding the names of the more
than 58,000 killed or missing in action during the conflict."
23-Mar-83,"The initial proposal to develop technology to intercept incoming missiles, the Strategic Defense Initiative Program, or Star Wars, is made by President Ronald Reagan."
20-Apr-83,"President Reagan signs legislation meant to
rescue the Social Security System from bankruptcy."
18-Jun-83,"Astronaut Sally Ride becomes the first American
woman to travel into space."
23-Oct-83,"A terrorist truck bomb kills two hundred and
forty-one United States peacekeeping troops in Lebanon at
Beirut International Airport. A second bomb destroyed a French
barracks two miles away, killing forty there."
25-Oct-83,"The United States invasion of Grenada
occurs at the request of the Organization of Eastern Caribbean
States to depose the Marxist regime."
7-Feb-84,Navy Captain Bruce McCandless and Army Lt. Colonel Robert Stewart become the first astronauts to fly free of a spacecraft in orbit during a space shuttle flight that began four days earlier.
12-May-84,"The Louisiana World Exposition of 1984 opens
along the Mississippi River waterfront in New Orleans. The event, the last world's fair held in the United States, was plagued with financial trouble, and drew significantly fewer visitors than predicted over the next six months, 7.3 million, although it was regarded as the catalyst in the recovery of the waterfront and warehouse district to public use."
12-Jul-84,"Democratic candidate for President, Walter
Mondale, selects Geraldine Ferraro as his Vice Presidential
running mate, the first woman chosen for that position."
28-Jul-84,"The opening ceremony of the Los Angeles
Olympic Games is held. The games run by Peter Ueberroth,
prove a financial and U.S. success, despite a retaliatory boycott by most allies of the Soviet Union due to the U.S. boycott of the 1980 Moscow games."
6-Nov-84,"President Ronald Reagan wins reelection
over Democratic challenger Walter F. Mondale, increasing his
Electoral College victory since the 1980 election to a margin of
525 to 13."
13-Jul-85, A famine relief concert organized by British artist Bob Geldof and held simultaneously in London and Philadelphia is seen in one hundred and fifty-two countries. The seventeen hour concert raised $70 million for relief efforts in Ethiopia and other African nations.
11-Sep-85,"Pete Rose breaks Ty Cobb's record for
most career hits in Major League Baseball history. He would be
banned from baseball in 1989 for gambling, thus making him
ineligible for election into the Baseball Hall of Fame in
Cooperstown, New York."
19-Nov-85,"The first meeting in six years between the
leaders of the Soviet Union and the United States occurs when
Mikhail Gorbachev and Ronald Reagan engage in a five hour
summit conference in Geneva, Switzerland."
20-Nov-85,"The first version of the Windows operating
system for computers is released."
11-Dec-85,"General Electric Corporation agrees to buy
RCA Corporation for $6.28 billion in the largest corporate merger ever outside the oil industry."
20-Jan-86,Martin Luther King Day is officially observed for the first time as a federal holiday in the United States
28-Jan-86,"The Challenger Space Shuttle explodes after
lift off at Cape Canaveral, Florida, killing seven people, including Christa McAuliffe, a New Hampshire school teacher."
25-May-86,"Five million people make a human chain across
the United States in the Hands Across America campaign to fight
hunger and homelessness."
18-Sep-86,"A tentative agreement on a world-wide ban
on medium-range missiles is reached between the Soviet Union
and the United States. This agreement would not be expanded to
include long-range missiles when President Reagan refused
capitulation to the demand from Mikhail Gorbachev to limit
development of the Star Wars missile defense shield."
3-Nov-86,"The first reporting of the Iran-Contra affair, diverting money from arm sales to Iran to fund Nicaraguan contra rebels, begins the largest crisis in the Reagan tenure."
12-Aug-87,"Near the end of hearings into the Iran-contra affair, President Reagan admits to a policy that went astray, but denied knowledge of the diversion of funds to the contras."
19-Oct-87,"The stock market crash known as Black
Monday occurs on the New York Stock Exchange, recording a
record 22.6% drop in one day. Stock markets around the world
would mirror the crash with drops of their own."
23-Oct-87,"The President's nominee to the Supreme
Court, Robert Bork, is rejected by the U.S. Senate, 58-42, in the largest margin of rejection for the role in history."
8-Dec-87,"The United States and the Soviet Union sign
an agreement, the Intermediate Range Nuclear Forces Treaty, to
dismantle all 1,752 U.S. and 859 Soviet missiles in the 300-3,400 mile range."
31-Dec-87,"El Malpais National Monument in New
Mexico is established by legislation. It preserved a natural
volcanic area, a seventeen mile lava tube system, and remains
from the Pueblo Indian culture."
3-Feb-88,The United States House of Representatives rejects the request of President Reagan for $36.25 million to fund the Nicaraguan Contras.
12-Apr-88,"The first patent for a genetically engineered
animal is issued to Harvard University researchers Philip Leder
and Timothy Stewart."
4-May-88,"The deadline for amnesty application by illegal
aliens is met by 1.4 million applications. It is estimated that 71% of those who applied had entered the United States from Mexico."
31-Oct-88,"Poverty Point National Monument in
Louisiana is established by President Ronald Reagan in order to
preserve some of the most extensive earthworks from prehistoric
times in North America."
8-Nov-88,"Vice President under Ronald Reagan,
George Herbert Walker Bush, claims victory in the presidential
election over Democratic challenger Michael S. Dukakis,
Governor of Massachusetts. The Electoral College vote tallied
426 for Bush and 111 for Dukakis."
6-Jan-89,"Economic reports on the previous year from the Labor Department indicate a growth rate of 3.8%, the largest in four years and an unemployment rate of 5.3%, a low of fourteen years."
24-Mar-89,"The Exxon Valdez crashes into Bligh Reef in
Alaska's Prince William Sound, causing the largest oil spill in
American history, eleven million gallons, which extended
forty-five miles."
9-Aug-89,The Savings and Loan Bailout is approved by Congress and signed into law by President George Herbert Walker Bush. The total cost of the bill would approach $400 billion over thirty years to close and merge insolvent Savings and Loans.
10-Aug-89,"Army General Colin Powell is elevated to the
position of Chairman of the Joint Chiefs of Staff, becoming the
first African American to be nominated to that post."
9-Nov-89,"The Berlin Wall, after thirty-eight years of
restricting traffic between the East and West German sides of
the city, begins to crumble when German citizens are allowed to
travel freely between East and West Germany for the first time.
One day later, the influx of crowds around and onto the wall
begin to dismantle it, thus ending its existence."
