Date,Event
7-May-74,"Impeachment hearings are begun by the House
Judiciary Committee against President Richard M. Nixon in the
Watergate affair. On July 24, the United States Supreme Court
rules that President Nixon must turn over the sixty-four tapes of White House conversations concerning the Watergate break-in."
27-Jul-74,"The first of three articles of impeachment against President Richard M. Nixon is recommended in a 27-11 vote of the House Judiciary Committee, charging that Nixon had been part of a criminal conspiracy to obstruct justice in the Watergate affair."
9-Aug-74,"President Richard M. Nixon resigns the office of the presidency, avoiding the impeachment process and admitting his role in the Watergate affair. He was replaced by Vice President Gerald R. Ford, who, on September 8, 1974, pardoned Nixon for his role. Nixon was the first president to ever resign from office."
1-Jan-75,"The Watergate cover up trials of Mitchell, Haldeman, and Ehrlichman are completed; all are found guilty of the charges."
6-Jan-75,"The television show Wheel of Fortune
premiers."
30-Mar-75,"At the railroad depot in Plains, Georgia, his
home town, former Democratic Georgia governor Jimmy Carter
opens his campaign headquarters for the 1976 presidential race."
29-Apr-75,"Communist forces complete their takeover of
South Vietnam, forcing the evacuation from Saigon of civilians
from the United States and the unconditional surrender of South
Vietnam."
18-Sep-75,Heiress Patty Hearst is captured after her year of kidnap and bank robbery in California.  She would be  convicted of the crime six months later.
4-Jul-76,"The Bicentennial of the United States is celebrated throughout the nation. The 200th anniversary included Operation Sail in New York City, as well as a Bicentennial Wagon Train that traversed the nation during the year."
20-Jul-76,"The Viking 1 space probe successfully lands on
Mars. It would be followed by a second unmanned Viking II on
the Utopia Plains on September 3. The first color photos of the
surface of Mars are taken on these flights."
21-Jul-76,"Twenty-nine people attending an American
Legion convention in Philadelphia are killed by a mysterious
ailment, one year later discovered as a bacterium."
2-Nov-76,"Challenger Jimmy Carter, a relatively
unknown former Democratic governor from Georgia, bests
Gerald Ford in a closely contested election. Carter received a
slight majority of the popular vote, as well as an Electoral College victory of 297 to 240."
26-Nov-76,"Microsoft becomes a registered trademark,
one year after its name for microcomputer software is first
mentioned by Bill Gates to Paul Allen in a letter."
21-Jan-77,"The majority of Vietnam War draft evaders, ten thousand in number, are pardoned by President Jimmy Carter."
25-May-77,"The movie Star Wars opens and becomes the
highest grossing film at the time."
4-Aug-77,"The cabinet level Energy Department is created
by Jimmy Carter."
13-Jul-77,"The New York City blackout results in massive
looting and disorderly conduct during its twenty-five hour
duration."
21-Sep-77,"Fifteen nations, including the United States and the Soviet Union, sign a nuclear-proliferation pact, slowing the spread of nuclear weapons around the world."
3-Mar-78,"In one of the first articles on the subject of human cloning, the New York Post prints an article on the book The Cloning of Man which supposes the cloning of a human being."
18-Apr-78,"The United States Senate votes to return the
Panama Canal back to Panama on December 31, 1999. A treaty
for the return had been signed on September 7 of the previous
year, pending approval by the U.S. Congress."
17-Aug-78,"The first balloon, Double Eagle II, to cross the Atlantic Ocean comes to rest in Miserey, France, after one
hundred and thirty-seven hours of flight from Presque Isle,
Maine."
17-Sep-78,"The Camp David Peace Agreement
between Israel and Egypt is formulated in twelve days of secret
negotiations at the Camp David retreat of the President.
President Jimmy Carter witnessed the signing of the agreement
between Israeli Prime Minister Menachem Begin and Egyptian
President Anwar Sadat at the White House."
16-Oct-78,"Pope John Paul II, Karol Wojtyla of Poland, is elected Pope at Vatican City."
28-Mar-79,"An accident at the Three Mile Island nuclear power plant in Middletown, Pennsylvania occurs when a partial core meltdown is recorded. A tense situation ensued for five days until the reactor was deemed under control. It is the largest accident in U.S. nuclear power history and considered the worst in the world until the Soviet Chernobyl accident seven years later"
1-Sep-79,"The American Pioneer Eleven passes the
planet Saturn, becoming the first spacecraft to visit the ringed
planet, albeit at a distance of 21,000 kilometers."
6-Oct-79,"The Federal Reserve system changes its
monetary policy goals from interest rate based to a money supply
target orientation."
1-Nov-79,"The Chrysler Bailout is approved by the
federal government. A $1.5 billion loan-guarantee plan is floated to assist the third largest car maker in the United States."
4-Nov-79,"The Iran Hostage Crisis begins when
sixty-three Americans are among ninety hostages taken at the
American embassy in Tehran by three thousand militant student
followers of Ayatollah Khomeini, who demand that the former
shah return to Iran to stand trial."
