Date,Event
20-Apr-83,"President Reagan signs legislation meant to
rescue the Social Security System from bankruptcy."
18-Jun-83,"Astronaut Sally Ride becomes the first American
woman to travel into space."
23-Oct-83,"A terrorist truck bomb kills two hundred and
forty-one United States peacekeeping troops in Lebanon at
Beirut International Airport. A second bomb destroyed a French
barracks two miles away, killing forty there."
25-Oct-83,"The United States invasion of Grenada
occurs at the request of the Organization of Eastern Caribbean
States to depose the Marxist regime."
7-Feb-84,Navy Captain Bruce McCandless and Army Lt. Colonel Robert Stewart become the first astronauts to fly free of a spacecraft in orbit during a space shuttle flight that began four days earlier.
12-May-84,"The Louisiana World Exposition of 1984 opens
along the Mississippi River waterfront in New Orleans. The event, the last world's fair held in the United States, was plagued with financial trouble, and drew significantly fewer visitors than predicted over the next six months, 7.3 million, although it was regarded as the catalyst in the recovery of the waterfront and warehouse district to public use."
12-Jul-84,"Democratic candidate for President, Walter
Mondale, selects Geraldine Ferraro as his Vice Presidential
running mate, the first woman chosen for that position."
28-Jul-84,"The opening ceremony of the Los Angeles
Olympic Games is held. The games run by Peter Ueberroth,
prove a financial and U.S. success, despite a retaliatory boycott by most allies of the Soviet Union due to the U.S. boycott of the 1980 Moscow games."
6-Nov-84,"President Ronald Reagan wins reelection
over Democratic challenger Walter F. Mondale, increasing his
Electoral College victory since the 1980 election to a margin of
525 to 13."
13-Jul-85, A famine relief concert organized by British artist Bob Geldof and held simultaneously in London and Philadelphia is seen in one hundred and fifty-two countries. The seventeen hour concert raised $70 million for relief efforts in Ethiopia and other African nations.
11-Sep-85,"Pete Rose breaks Ty Cobb's record for
most career hits in Major League Baseball history. He would be
banned from baseball in 1989 for gambling, thus making him
ineligible for election into the Baseball Hall of Fame in
Cooperstown, New York."
19-Nov-85,"The first meeting in six years between the
leaders of the Soviet Union and the United States occurs when
Mikhail Gorbachev and Ronald Reagan engage in a five hour
summit conference in Geneva, Switzerland."
20-Nov-85,"The first version of the Windows operating
system for computers is released."
11-Dec-85,"General Electric Corporation agrees to buy
RCA Corporation for $6.28 billion in the largest corporate merger ever outside the oil industry."
20-Jan-86,Martin Luther King Day is officially observed for the first time as a federal holiday in the United States
28-Jan-86,"The Challenger Space Shuttle explodes after
lift off at Cape Canaveral, Florida, killing seven people, including Christa McAuliffe, a New Hampshire school teacher."
25-May-86,"Five million people make a human chain across
the United States in the Hands Across America campaign to fight
hunger and homelessness."
18-Sep-86,"A tentative agreement on a world-wide ban
on medium-range missiles is reached between the Soviet Union
and the United States. This agreement would not be expanded to
include long-range missiles when President Reagan refused
capitulation to the demand from Mikhail Gorbachev to limit
development of the Star Wars missile defense shield."
3-Nov-86,"The first reporting of the Iran-Contra affair, diverting money from arm sales to Iran to fund Nicaraguan contra rebels, begins the largest crisis in the Reagan tenure."
12-Aug-87,"Near the end of hearings into the Iran-contra affair, President Reagan admits to a policy that went astray, but denied knowledge of the diversion of funds to the contras."
19-Oct-87,"The stock market crash known as Black
Monday occurs on the New York Stock Exchange, recording a
record 22.6% drop in one day. Stock markets around the world
would mirror the crash with drops of their own."
23-Oct-87,"The President's nominee to the Supreme
Court, Robert Bork, is rejected by the U.S. Senate, 58-42, in the largest margin of rejection for the role in history."
8-Dec-87,"The United States and the Soviet Union sign
an agreement, the Intermediate Range Nuclear Forces Treaty, to
dismantle all 1,752 U.S. and 859 Soviet missiles in the 300-3,400 mile range."
31-Dec-87,"El Malpais National Monument in New
Mexico is established by legislation. It preserved a natural
volcanic area, a seventeen mile lava tube system, and remains
from the Pueblo Indian culture."
3-Feb-88,The United States House of Representatives rejects the request of President Reagan for $36.25 million to fund the Nicaraguan Contras.
12-Apr-88,"The first patent for a genetically engineered
animal is issued to Harvard University researchers Philip Leder
and Timothy Stewart."
4-May-88,"The deadline for amnesty application by illegal
aliens is met by 1.4 million applications. It is estimated that 71% of those who applied had entered the United States from Mexico."
31-Oct-88,"Poverty Point National Monument in
Louisiana is established by President Ronald Reagan in order to
preserve some of the most extensive earthworks from prehistoric
times in North America."
8-Nov-88,"Vice President under Ronald Reagan,
George Herbert Walker Bush, claims victory in the presidential
election over Democratic challenger Michael S. Dukakis,
Governor of Massachusetts. The Electoral College vote tallied
426 for Bush and 111 for Dukakis."
6-Jan-89,"Economic reports on the previous year from the Labor Department indicate a growth rate of 3.8%, the largest in four years and an unemployment rate of 5.3%, a low of fourteen years."
24-Mar-89,"The Exxon Valdez crashes into Bligh Reef in
Alaska's Prince William Sound, causing the largest oil spill in
American history, eleven million gallons, which extended
forty-five miles."
9-Aug-89,The Savings and Loan Bailout is approved by Congress and signed into law by President George Herbert Walker Bush. The total cost of the bill would approach $400 billion over thirty years to close and merge insolvent Savings and Loans.
10-Aug-89,"Army General Colin Powell is elevated to the
position of Chairman of the Joint Chiefs of Staff, becoming the
first African American to be nominated to that post."
9-Nov-89,"The Berlin Wall, after thirty-eight years of
restricting traffic between the East and West German sides of
the city, begins to crumble when German citizens are allowed to
travel freely between East and West Germany for the first time.
One day later, the influx of crowds around and onto the wall
begin to dismantle it, thus ending its existence."
